...1,DOI,Title,trimmed_title,CombinedCites,CombinedAuthors,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,DOI_missing,CitationURL,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,Journal,row_id,JournalAbbr,ZoteroKey,PDFPath,primary_category,secondary_category,macro_micro_level,justification,Experimental,Causal_Inference,Descriptive_Correlational,Theoretical,Methodological,Review_Meta_analysis,Other
96,MISSING_DOI_collective deviance scaling up subjective group dy,Collective deviance: Scaling up subjective group dynamics to superordinate categories reveals a deviant ingroup protection effect.,Collective deviance: Scaling up subjective group dynamics to superordinate categ,6,"D Abrams, GA Travaglino, JM Marques…",2022,Journal of Personality …,psycnet.apa.org,https://psycnet.apa.org/record/2021-08618-001,"https://scholar.google.com/scholar?cites=16245918811423741314&as_sdt=2005&sciodt=0,5&hl=en",141,TRUE,NA,6,2,2,3,3,"Six experiments examined responses to groups whose attitudes deviated from wider social norms about asylum and immigration (in the United Kingdom), or about taxation levels (in …",https://kar.kent.ac.uk/83881/1/AbramsetalJPSP%202020_Pre-Published_final.pdf,"https://scholar.google.com/scholar?q=related:gpW_nBUZdeEJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022",Journal of Personality and Social Psychology,96,JPSP,AGD8EKWI,/Users/haleylam/Zotero/storage/LUMDEGTR/Abrams et al. - 2022 - Collective deviance Scaling up subjective group d.pdf,Experimental,NA,individual-level data,"The article reports six experiments manipulating group category membership and group deviance positions (attenuator, consolidator, accentuator) to examine their effects on participants' evaluations and subjective validity ratings. The design includes random assignment to conditions, repeated measures, and controlled manipulations of social categories and norms, consistent with experimental research. The study uses individual-level data collected from participants' responses to experimental stimuli.",1,0,0,0,0,0,0
97,MISSING_DOI_collective satiation how coexperience accelerates,Collective satiation: How coexperience accelerates a decline in hedonic judgments.,Collective satiation: How coexperience accelerates a decline in hedonic judgment,18,"RP Bhargave, NV Montgomery, ...",2018,… of personality and social …,psycnet.apa.org,https://psycnet.apa.org/record/2018-13651-003,"https://scholar.google.com/scholar?cites=8506136631855866421&as_sdt=2005&sciodt=0,5&hl=en",98,TRUE,NA,18,2.5714285714285716,6,3,7,"Individuals often mutually experience a stimulus with a relationship partner or social group (eg, snacking with friends). Yet, little is currently understood about how a sense of …",https://spiral.imperial.ac.uk/bitstream/10044/1/50419/2/Collective%20Satiation%202017-August-10%20TO%20SHARE.pdf,"https://scholar.google.com/scholar?q=related:NeK0ADPeC3YJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018",Journal of Personality and Social Psychology,97,JPSP,HRWLFLQK,/Users/haleylam/Zotero/storage/G5JQ6EAP/Bhargave et al. - 2018 - Collective satiation How coexperience accelerates a decline in hedonic judgments.pdf,Experimental,NA,individual-level data,"The article reports multiple studies (five in total) involving direct manipulation of social context variables (e.g., solo vs. shared experience, presence or absence of chatting, timing of coexperience) and measurement of participants' hedonic judgments over time. The design includes random assignment to conditions, controlled lab and online experiments, and repeated measures of enjoyment and satiation, consistent with experimental research. The studies test hypotheses about the causal effect of coexperience on hedonic satiation, using manipulated independent variables and measured dependent variables at the individual level.",1,0,0,0,0,0,0
98,MISSING_DOI_combating the sting of rejection with the pleasure,Combating the sting of rejection with the pleasure of revenge: A new look at how emotion shapes aggression.,Combating the sting of rejection with the pleasure of revenge: A new look at how,153,"DS Chester, CN DeWall",2017,… of personality and social psychology,psycnet.apa.org,https://psycnet.apa.org/record/2016-52939-001,"https://scholar.google.com/scholar?cites=17355774717211443941&as_sdt=2005&sciodt=0,5&hl=en",24,TRUE,NA,153,19.125,76.5,2,8,"How does emotion explain the relationship between social rejection and aggression? Rejection reliably damages mood, leaving individuals motivated to repair their negatively …",https://psycnet.apa.org/manuscript/2016-52939-001.pdf,"https://scholar.google.com/scholar?q=related:5QIYhSYZ3PAJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",Journal of Personality and Social Psychology,98,JPSP,5RSZA3MK,/Users/haleylam/Zotero/storage/292Z62YS/Chester and DeWall - 2017 - Combating the sting of rejection with the pleasure.pdf,Experimental,NA,individual-level data,"The article reports on multiple studies involving experimental manipulations such as social rejection (Cyberball task), mood freezing, and social feedback, with random assignment to conditions. Behavioral aggression was measured using tasks like the Voodoo Doll Task and Taylor Aggression Paradigm. The studies test causal hypotheses about the role of mood repair motives and sadistic impulses in the rejection–aggression link, using randomized controlled designs and mediation/moderation analyses, consistent with experimental research.",1,0,0,0,0,0,0
99,MISSING_DOI_communication that is maladaptive for middleclass,Communication that is maladaptive for middle-class couples is adaptive for socioeconomically disadvantaged couples.,Communication that is maladaptive for middle-class couples is adaptive for socio,79,"JM Ross, BR Karney, TP Nguyen…",2019,… of Personality and Social …,psycnet.apa.org,https://psycnet.apa.org/journals/psp/116/4/582/,"https://scholar.google.com/scholar?cites=18168773719079763015&as_sdt=2005&sciodt=0,5&hl=en",23,TRUE,NA,79,13.166666666666666,26.333333333333332,3,6,"Demands for change in a relationship, particularly when met by behavioral withdrawal, foreshadow declines in relationship satisfaction. Yet demands can give partners …",https://www.apa.org/pubs/journals/releases/psp-pspi0000158.pdf,"https://scholar.google.com/scholar?q=related:R7wzam9zJPwJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019",Journal of Personality and Social Psychology,99,JPSP,SVQASR3M,/Users/haleylam/Zotero/storage/XAZGA4IX/Ross et al. - 2019 - Communication that is maladaptive for middle-class couples is adaptive for socioeconomically disadva.pdf,Descriptive/Correlational,NA,individual-level data,"The article reports on two longitudinal observational studies of couples, analyzing associations between demand/withdraw communication patterns, socioeconomic risk, and relationship satisfaction. The studies use multilevel modeling and actor-partner interdependence models to examine how these behaviors covary with satisfaction over time, including moderation by socioeconomic risk. There is no manipulation of variables or random assignment, nor use of causal inference methods like diff-in-diffs or instrumental variables. The focus is on describing relationships and predicting changes in satisfaction based on observed behaviors and risk factors, consistent with descriptive/correlational research.",0,0,1,0,0,0,0
100,MISSING_DOI_compassion magnifies thirdparty punishment,Compassion magnifies third-party punishment.,Compassion magnifies third-party punishment.,61,"S Pfattheicher, C Sassenrath…",2019,Journal of Personality and …,psycnet.apa.org,https://psycnet.apa.org/journals/psp/117/1/124/,"https://scholar.google.com/scholar?cites=5077880370074343180&as_sdt=2005&sciodt=0,5&hl=en",39,TRUE,NA,61,10.166666666666666,30.5,2,6,The last decades of research have provided overwhelming evidence that compassion fosters a vast range of behaviors toward reducing suffering of others. In this regard …,https://www.researchgate.net/profile/Stefan-Pfattheicher-2/publication/332217155_Compassion_magnifies_third-party_punishment/links/5fb3f28e92851cf24cd8f6c9/Compassion-magnifies-third-party-punishment.pdf,"https://scholar.google.com/scholar?q=related:DNc19kpBeEYJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019",Journal of Personality and Social Psychology,100,JPSP,4ZITA3KT,/Users/haleylam/Zotero/storage/I2GLN29M/Pfattheicher et al. - 2019 - Compassion magnifies third-party punishment.pdf,Experimental,Causal Inference,individual-level data,"The article reports multiple studies (Studies 2 to 6) that experimentally manipulate compassion and injustice to test their causal effects on third-party punishment. The use of random assignment to high- and low-compassion conditions and orthogonal manipulation of injustice levels demonstrates experimental design. Additionally, mediation analyses test causal pathways (compassion -> moral outrage -> punishment), consistent with causal inference methods. The data are individual-level, collected via online platforms and lab settings. The article also includes correlational studies (Studies 1a-1f) but the primary evidence is experimental.",1,0,0,0,0,0,0
101,MISSING_DOI_confession and selfcontrol a prelude to repentance,Confession and self-control: A prelude to repentance or relapse?,Confession and self-control: A prelude to repentance or relapse?,11,"ML Lowe, KL Haws",2019,Journal of Personality and Social Psychology,psycnet.apa.org,https://psycnet.apa.org/record/2018-51566-001,"https://scholar.google.com/scholar?cites=11653724268666345187&as_sdt=2005&sciodt=0,5&hl=en",105,TRUE,NA,11,1.8333333333333333,5.5,2,6,"Confessions are commonplace. Even when embarrassing or otherwise damaging, we seem intrinsically motivated to open up to others and confess mistakes we have made. Although …",NA,"https://scholar.google.com/scholar?q=related:49Y0cHpYuqEJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019",Journal of Personality and Social Psychology,101,JPSP,FUSBKYIQ,/Users/haleylam/Zotero/storage/PLDXSM4X/Lowe and Haws - 2019 - Confession and self-control A prelude to repentance or relapse.pdf,Experimental,NA,individual-level data,"The article describes a series of five empirical studies involving manipulation of variables such as confession versus control conditions and measurement of subsequent self-control behaviors. Participants were randomly assigned to conditions in several studies, and behavioral outcomes (e.g., snack choice, spending intentions, candy consumption) were observed. The design includes experimental manipulations and random assignment, consistent with the definition of Experimental research. The data are individual-level, collected from participants' self-reports and observed behaviors.",1,0,0,0,0,0,0
102,MISSING_DOI_confused or curious opennessintellect predicts mor,Confused or curious? Openness/intellect predicts more positive interest-confusion relations.,Confused or curious? Openness/intellect predicts more positive interest-confusio,44,"K Fayn, PJ Silvia, E Dejonckheere…",2019,Journal of Personality …,psycnet.apa.org,https://psycnet.apa.org/record/2019-35690-001,"https://scholar.google.com/scholar?cites=10611172563934572969&as_sdt=2005&sciodt=0,5&hl=en",38,TRUE,NA,44,7.333333333333333,14.666666666666666,3,6,"Open people show greater interest in situations that are complex, novel, and difficult to understand—situations that may also be experienced as confusing. Here we investigate the …",https://ppw.kuleuven.be/okp/_pdf/Fayn2019COCOI.pdf,"https://scholar.google.com/scholar?q=related:qfGw-zl1QpMJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019",Journal of Personality and Social Psychology,102,JPSP,FIWTS7EF,/Users/haleylam/Zotero/storage/UDEVPLBK/Fayn et al. - 2019 - Confused or curious Opennessintellect predicts more positive interest-confusion relations.pdf,Descriptive/Correlational,NA,individual-level data,"The article reports on multiple studies examining the relationship between openness/intellect personality traits and the within-person relation between interest and confusion across various stimuli and tasks. The research uses correlational analyses, multilevel modeling, and repeated measures ANOVAs to describe and predict relationships between variables without manipulating independent variables experimentally or employing causal inference methods such as diff-in-diffs, IV, or regression discontinuity. The studies rely on individual-level data collected from participants' self-reports and behavioral tasks. Although Study 4 includes an experimental manipulation of confusion, the overall research design and analyses focus on describing individual differences and associations rather than testing causal effects, thus fitting best within the Descriptive/Correlational category.",0,0,1,0,0,0,0
103,MISSING_DOI_connect or protect social class and selfprotection,Connect or protect? Social class and self-protection in romantic relationships.,Connect or protect? Social class and self-protection in romantic relationships.,12,"LF Emery, EJ Finkel",2022,Journal of personality and social psychology,psycnet.apa.org,https://psycnet.apa.org/record/2021-62286-001,"https://scholar.google.com/scholar?cites=6137772576694803354&as_sdt=2005&sciodt=0,5&hl=en",109,TRUE,NA,12,4,6,2,3,"Lower SES (socioeconomic status) couples tend to face particular challenges in their relationships. Relative to higher SES couples, they are less likely to marry and more likely to …",https://psycnet.apa.org/manuscript/2021-62286-001.pdf,"https://scholar.google.com/scholar?q=related:mhsHoqO_LVUJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022",Journal of Personality and Social Psychology,103,JPSP,UFFEA5X2,/Users/haleylam/Zotero/storage/YN75DLX7/Emery and Finkel - 2022 - Connect or protect Social class and self-protecti.pdf,Descriptive/Correlational,NA,individual-level data,"The article reports on three studies using cross-sectional, longitudinal, and daily diary methods to examine associations between social class, self-protection, vulnerability, and relationship satisfaction. The studies use regression and mediation analyses to describe relationships and test hypotheses about psychological mechanisms, without employing experimental manipulation or causal inference methods such as diff-in-diffs, IV, or natural experiments. The data are individual-level, collected from couples via surveys and diaries. The research primarily describes and predicts relationships between variables rather than establishing causality through experimental or quasi-experimental designs.",0,0,1,0,0,0,0
104,MISSING_DOI_consequences norms and generalized inaction in mor,"Consequences, norms, and generalized inaction in moral dilemmas: The CNI model of moral decision-making.","Consequences, norms, and generalized inaction in moral dilemmas: The CNI model o",215,"B Gawronski, J Armstrong, P Conway…",2017,Journal of Personality …,psycnet.apa.org,https://psycnet.apa.org/record/2017-34831-001,"https://scholar.google.com/scholar?cites=13490096407604884132&as_sdt=2005&sciodt=0,5&hl=en",15,TRUE,NA,215,26.875,71.66666666666667,3,8,"Research on moral dilemma judgments has been fundamentally shaped by the distinction between utilitarianism and deontology. According to the principle of utilitarianism, the moral …",http://bertramgawronski.com/documents/GACFH2017JPSP.pdf,"https://scholar.google.com/scholar?q=related:pPIPiTVzNrsJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",Journal of Personality and Social Psychology,104,JPSP,HDQCCATM,"/Users/haleylam/Zotero/storage/AFLDGHPH/Gawronski et al. - Consequences, Norms, and Generalized Inaction in M.pdf",Methodological,Descriptive/Correlational,individual-level data,"The article develops and applies a multinomial processing tree model (the CNI model) to disentangle sensitivity to consequences, moral norms, and general preference for inaction/action in moral dilemma judgments. This methodological advancement aims to improve the interpretation of moral dilemma data beyond traditional approaches. The research uses individual-level data from multiple studies to estimate model parameters and test hypotheses about gender, cognitive load, framing, and psychopathy effects. While the article includes empirical data analysis, its primary focus is on developing and validating a novel methodological model for moral decision-making research, fitting the 'Methodological' category. The use of regression and descriptive statistics without causal inference methods also supports a secondary classification as 'Descriptive/Correlational.'",0,0,0,0,1,0,0
105,MISSING_DOI_consistency and change in idiographic personality,Consistency and change in idiographic personality: A longitudinal ESM network study.,Consistency and change in idiographic personality: A longitudinal ESM network st,99,"ED Beck, JJ Jackson",2020,… of Personality and Social Psychology,psycnet.apa.org,https://psycnet.apa.org/record/2019-28228-001,"https://scholar.google.com/scholar?cites=15826120269628102411&as_sdt=2005&sciodt=0,5&hl=en",23,TRUE,NA,99,19.8,49.5,2,5,"The study of personality development primarily focuses on between-person, nomothetic assessments of personality using assessments of personality traits. An alternative approach …",https://psycnet.apa.org/manuscript/2019-28228-001.pdf,"https://scholar.google.com/scholar?q=related:C9fK64isodsJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020",Journal of Personality and Social Psychology,105,JPSP,ZSS3RP95,/Users/haleylam/Zotero/storage/FI68GXQY/Beck and Jackson - 2020 - Consistency and change in idiographic personality.pdf,Descriptive/Correlational,Methodological,individual-level data,"The study uses longitudinal Experience Sampling Method (ESM) data from individuals to model idiographic personality networks using graphical VAR models. It primarily describes and examines within-person relationships and consistency of personality indicators over time without experimental manipulation or causal inference methods. The research also evaluates and compares different idiographic modeling techniques, contributing methodologically to idiographic personality assessment. The data are individual-level, focusing on intraindividual patterns and changes.",0,0,1,0,0,0,0
106,MISSING_DOI_consistency and inconsistency among romantic partn,Consistency and inconsistency among romantic partners over time.,Consistency and inconsistency among romantic partners over time.,31,"PW Eastwick, KP Harden, JA Shukusky…",2017,Journal of Personality …,psycnet.apa.org,https://psycnet.apa.org/record/2017-09433-001,"https://scholar.google.com/scholar?cites=1819068526563401198&as_sdt=2005&sciodt=0,5&hl=en",81,TRUE,NA,31,3.875,10.333333333333334,3,8,Theoretical perspectives on mating differentially emphasize whether (and why) romantic partner selection and maintenance processes derive from stable features of individuals (eg …,https://psycnet.apa.org/manuscript/2017-09433-001.pdf,"https://scholar.google.com/scholar?q=related:7p3n4y-hPhkJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",Journal of Personality and Social Psychology,106,JPSP,EC6SD2SI,/Users/haleylam/Zotero/storage/PNT6WC4P/Eastwick et al. - 2017 - Consistency and inconsistency among romantic partn.pdf,Descriptive/Correlational,NA,individual-level data,"The article analyzes clustering of romantic partner attributes within individuals over time using intraclass correlations and agent-based simulations. It describes patterns of similarity among partners on traits like attractiveness, masculinity, and dominance without manipulating variables or employing causal inference methods such as diff-in-diffs or IV. The study uses individual-level data nested within focal persons and focuses on describing relationships and variance components rather than testing causal effects.",0,0,1,0,0,0,0
107,10.1037/pspa0000296,Context-dependent learning in social interaction: Trait impressions support flexible social choices.,Context-dependent learning in social interaction: Trait impressions support flex,5,"LM Hackel, P Mende-Siedlecki, S Loken…; LM Hackel, P Mende-Siedlecki…",2022,… and social psychology,psycnet.apa.org,https://psycnet.apa.org/record/2022-28517-001,"https://scholar.google.com/scholar?cites=9545652107291265903&as_sdt=2005&sciodt=0,5&hl=en",148,TRUE,NA,5,1.6666666666666667,1.25,4,3,"How do humans learn, through social interaction, whom to depend on in different situations? We compared the extent to which inferred trait attributes—as opposed to learned reward …",https://psyarxiv.com/symrj/download?format=pdf,"https://scholar.google.com/scholar?q=related:bwuOPAT4eIQJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022",Journal of Personality and Social Psychology,107,JPSP,ZH89ZFVG,/Users/haleylam/Zotero/storage/RZES4ED8/Kitayama - 2017 - Journal of Personality and Social Psychology Atti.pdf,Experimental,NA,individual-level data,"The article reports four experiments involving human participants who completed a novel task with manipulated variables (e.g., player competence and reward levels across verbal and math contexts). The study involved active manipulation of feedback and measurement of participants' choices and ratings, constituting an experimental design. The use of hierarchical computational modeling and mixed-effects regression analyses further supports the experimental classification. The data are individual-level, collected from participants' choices and ratings. Although computational modeling was used, the primary focus was on empirical testing of hypotheses through controlled experiments rather than purely methodological development or theoretical modeling.",1,0,0,0,0,0,0
108,MISSING_DOI_counterfeit diversity how strategically misreprese,Counterfeit diversity: How strategically misrepresenting gender diversity dampens organizations' perceived sincerity and elevates women's identity threat concerns.,Counterfeit diversity: How strategically misrepresenting gender diversity dampen,40,"KM Kroeper, HE Williams…",2022,Journal of Personality and …,psycnet.apa.org,https://psycnet.apa.org/record/2020-80801-001,"https://scholar.google.com/scholar?cites=4592538183870369497&as_sdt=2005&sciodt=0,5&hl=en",26,TRUE,NA,40,13.333333333333334,20,2,3,"Women remain underrepresented in technology and computing fields. Aware of this problem, many tech organizations seek diversification strategies. Several academic sources …",https://psycnet.apa.org/manuscript/2020-80801-001.pdf,"https://scholar.google.com/scholar?q=related:2c4CWyX5uz8J:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022",Journal of Personality and Social Psychology,108,JPSP,FCA6I9LD,/Users/haleylam/Zotero/storage/P3RHUZAB/Kroeper et al. - Counterfeit Diversity How Strategically Misrepres.pdf,Experimental,NA,individual-level data,"The article reports on four experiments with random assignment to conditions manipulating perceived organizational gender diversity (counterfeit, authentic high, authentic low) and measures participants' perceptions, identity threat concerns, and interest in the company. The use of experimental vignettes, random assignment, and manipulation checks clearly indicate an experimental design with individual-level data.",1,0,0,0,0,0,0
110,MISSING_DOI_creative expertise is associated with transcending,Creative expertise is associated with transcending the here and now.,Creative expertise is associated with transcending the here and now.,89,"ML Meyer, HE Hershfield, AG Waytz…",2019,… personality and social …,psycnet.apa.org,https://psycnet.apa.org/journals/psp/116/4/483/,"https://scholar.google.com/scholar?cites=15708061670871743235&as_sdt=2005&sciodt=0,5&hl=en",18,TRUE,NA,89,14.833333333333334,29.666666666666668,3,6,"Human imagination is bounded. As situations become more distant in time, place, perspective, and likelihood, they also become more difficult to simulate. What underlies the …",https://psnlab.princeton.edu/sites/g/files/toruqf641/files/documents/meyer%2C%20mildner%2C%20tamir%202019.pdf,"https://scholar.google.com/scholar?q=related:Azs9Yt0-_tkJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019",Journal of Personality and Social Psychology,110,JPSP,YFIITNZP,/Users/haleylam/Zotero/storage/NQ9Z7HHI/Meyer et al. - 2019 - Creative expertise is associated with transcending the here and now.pdf,Experimental,Descriptive/Correlational,individual-level data,"The article reports on three behavioral studies and one neuroimaging study involving manipulation of variables such as participant group (creative experts vs. controls) and simulation conditions (proximal vs. distal). The studies include experimental tasks where participants engage in distal and proximal simulation and creativity assessments, with fMRI data collected to examine neural mechanisms. The use of control groups, task manipulations, and neuroimaging to test hypotheses about mechanisms underlying distal simulation qualifies this as experimental research. Additionally, the article includes descriptive analyses of correlations between creativity and simulation vividness, supporting a secondary descriptive/correlational classification.",1,0,0,0,0,0,0
111,MISSING_DOI_creative thinking facilitates perspective taking,Creative thinking facilitates perspective taking.,Creative thinking facilitates perspective taking.,9,"Z Yang, IW Hung",2021,Journal of Personality and Social Psychology,psycnet.apa.org,https://psycnet.apa.org/record/2020-85409-001,"https://scholar.google.com/scholar?cites=12710667874322114108&as_sdt=2005&sciodt=0,5&hl=en",108,TRUE,NA,9,2.25,4.5,2,4,"The authors propose that an individual's disposition for perspective taking may be facilitated by creative thinking, which involves a cognitive procedure with shifting angles and …",NA,"https://scholar.google.com/scholar?q=related:PGbwchZdZbAJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021",Journal of Personality and Social Psychology,111,JPSP,6SIQTHYX,/Users/haleylam/Zotero/storage/IBZ5RMNG/Yang and Hung - 2021 - Creative thinking facilitates perspective taking.pdf,Experimental,Descriptive/Correlational,individual-level data,"The article reports multiple studies involving manipulation of creative thinking (divergent vs. convergent vs. control conditions) to examine its causal effect on perspective taking and donation behavior, indicating an experimental design. Random assignment to conditions and measurement of outcomes such as spatial perspective taking, self-reported perspective taking, and donation likelihood support this classification. Additionally, correlational analyses between creative personality and perspective taking are reported, justifying a secondary category of Descriptive/Correlational. The data are collected at the individual participant level.",1,0,0,0,0,0,0
112,MISSING_DOI_creativity and romantic passion,Creativity and romantic passion.,Creativity and romantic passion.,12,"KL Carswell, EJ Finkel, M Kumashiro",2019,Journal of Personality and …,psycnet.apa.org,https://psycnet.apa.org/record/2019-03857-001,"https://scholar.google.com/scholar?cites=3538065103772525561&as_sdt=2005&sciodt=0,5&hl=en",99,TRUE,NA,12,2,4,3,6,"Romantic passion typically declines over time, but a downward trajectory is not inevitable. Across 3 studies (1 of which encompassed 2 substudies), we investigated whether creativity …",https://research.gold.ac.uk/id/eprint/24388/1/Carswell%20et%20al%20Creativity%20and%20Passion%20in%20Presss%20JPSP.pdf,"https://scholar.google.com/scholar?q=related:-SORZne7GTEJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019",Journal of Personality and Social Psychology,112,JPSP,HCRTNFZG,/Users/haleylam/Zotero/storage/EFEHFZMK/Carswell et al. - 2019 - Creativity and romantic passion.pdf,Descriptive/Correlational,Causal Inference,individual-level data,"The article reports on multiple studies examining associations between creativity and romantic passion using self-report scales, behavioral coding, and longitudinal data. Studies 1A and 1B use correlational analyses with cross-sectional and relationship length as a proxy for time, which is descriptive/correlational. Study 2 employs cross-lagged panel analyses to test temporal precedence between creativity and positive illusions, a method consistent with causal inference approaches. Study 3 uses longitudinal data with behavioral measures and mediation analyses to test hypothesized pathways, further supporting causal inference. The data are individual-level, collected from participants in romantic relationships.",0,0,1,0,0,0,0
113,MISSING_DOI_crosscultural consistency and relativity in the en,Cross-cultural consistency and relativity in the enjoyment of thinking versus doing.,Cross-cultural consistency and relativity in the enjoyment of thinking versus do,24,"N Buttrick, H Choi, TD Wilson, S Oishi…",2019,Journal of Personality …,psycnet.apa.org,https://psycnet.apa.org/record/2018-35570-001,"https://scholar.google.com/scholar?cites=17393685674513515241&as_sdt=2005&sciodt=0,5&hl=en",90,TRUE,NA,24,4,6,4,6,Which is more enjoyable: trying to think enjoyable thoughts or doing everyday solitary activities? Wilson et al.(2014) found that American participants much preferred solitary …,https://psycnet.apa.org/manuscript/2018-35570-001.pdf,"https://scholar.google.com/scholar?q=related:6cItHPfIYvEJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019",Journal of Personality and Social Psychology,113,JPSP,XE5R2MNT,/Users/haleylam/Zotero/storage/QEAM8PPC/Buttrick et al. - 2019 - Cross-cultural consistency and relativity in the enjoyment of thinking versus doing.pdf,Experimental,Descriptive/Correlational,individual-level data,"The study involved random assignment of participants to either a 'thinking for pleasure' or 'doing an enjoyable solitary activity' condition, constituting an experimental manipulation of the independent variable. The research replicated a prior experimental design across multiple countries with individual-level data. Additionally, the study used descriptive and correlational analyses (e.g., correlations between individual differences and enjoyment) to explore relationships without specific causal inference methods, justifying the secondary category.",1,0,0,0,0,0,0
114,MISSING_DOI_crosscultural variation in cooperation a metaanaly,Cross-cultural variation in cooperation: A meta-analysis.,Cross-cultural variation in cooperation: A meta-analysis.,16,"G Spadaro, C Graf, S Jin, S Arai, Y Inoue…",2022,Journal of Personality …,psycnet.apa.org,https://psycnet.apa.org/record/2022-42369-001,"https://scholar.google.com/scholar?cites=4041092679378857489&as_sdt=2005&sciodt=0,5&hl=en",16,TRUE,NA,16,5.333333333333333,3.2,5,3,"Impersonal cooperation among strangers enables societies to create valuable public goods, such as infrastructure, public services, and democracy. Several factors have been proposed …",https://www.researchgate.net/profile/Giuliana-Spadaro/publication/359225980_Cross-cultural_variation_in_cooperation_A_meta-analysis/links/6230bb9a4ba65b248132bed7/Cross-cultural-variation-in-cooperation-A-meta-analysis.pdf,"https://scholar.google.com/scholar?q=related:Ee7OmmHYFDgJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022",Journal of Personality and Social Psychology,114,JPSP,SDZDW8D2,/Users/haleylam/Zotero/storage/EHFXCBHE/Spadaro et al. - Cross-Cultural Variation in Cooperation A Meta-An.pdf,Review/Meta-analysis,Descriptive/Correlational,individual-level data,"The article is a meta-analysis synthesizing findings from 1,506 studies on impersonal cooperation across 70 societies, using economic games such as Prisoner's Dilemma and Public Goods Game. It statistically combines cooperation rates and tests preregistered hypotheses about institutional, cultural, and ecological factors explaining variation in cooperation. The study does not involve manipulation of variables by the authors (Experimental) nor does it apply causal inference methods like diff-in-diffs or IV. Instead, it aggregates and analyzes existing empirical data, fitting the Review/Meta-analysis category primarily. The use of regression models to examine relationships without specific causal inference methods justifies the secondary category as Descriptive/Correlational. The data analyzed are individual-level cooperation rates from experimental games.",0,0,0,0,0,1,0
